Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
longyearbyen,20,NO,1547095800,73,78.22,15.63,19.4,40.26
faanui,92,PF,1547099960,100,-16.48,-151.75,81.02,14
amderma,75,AR,1547096400,65,-54.81,-68.31,46.4,4.7
ushuaia,0,AU,1547098200,6,-23.7,133.88,100.4,14.99
alice springs,1,US,1547098500,100,41.28,-70.1,35.06,16.11
nantucket,20,CA,1547096400,66,69.44,-133.03,-32.81,5.82
tuktoyaktuk,92,AO,1547099961,100,-15.19,12.15,72.29,4.72
namibe,24,PF,1547099961,95,-23.12,-134.97,80.93,10.42
rikitea,0,MX,1547099961,69,23.99,-104.67,42.05,4.16
constitucion,75,NO,1547097600,86,67.67,12.69,41,21.92
sorland,0,CN,1547099962,20,42.02,121.65,35.93,6.73
fuxin,76,PF,1547099962,100,-9.8,-139.03,81.52,18.03
atuona,75,ZA,1547096400,72,-33.93,18.42,64.4,5.82
cape town,0,EC,1547099962,100,-0.74,-90.35,74.18,6.96
puerto ayora,80,ZA,1547096400,68,-34.53,20.04,64.4,9.17
bredasdorp,0,AU,1547099963,94,-33.64,115.35,69.86,20.71
busselton,0,IN,1547096400,29,15.34,74.49,78.8,9.17
vaini,90,NA,1547096400,93,-22.95,14.51,59,1.12
walvis bay,76,PH,1547099964,95,13.32,122.68,81.2,20.49
san andres,0,IR,1547099964,79,36.2,46.09,16.45,1.92
grand centre,8,BR,1547099964,96,-30.17,-50.22,72.56,2.93
mitu,20,FR,1547098200,100,44.83,-0.61,33.8,2.24
cidreira,48,AU,1547099965,89,-23.58,149.07,78.68,11.43
saint-augustin,90,TM,1547098200,92,42.05,59.39,30.2,13.87
bluff,40,AU,1547096400,83,-20.01,148.25,82.4,11.41
akdepe,90,CA,1547098620,71,55.28,-114.77,8.6,6.93
bowen,80,PT,1547099966,89,41.42,-6.55,24.59,3.15
nizhneyansk,0,NG,1547099966,40,13.06,5.24,57.26,10.42
slave lake,1,VG,1547095980,78,18.42,-64.62,75.02,5.82
saldanha,40,PE,1547096400,94,-13.71,-76.2,69.8,14.99
sokoto,0,AU,1547096400,26,-42.78,147.06,71.6,18.34
road town,92,AU,1547099967,89,-35.71,150.18,68.2,4.5
pisco,32,AU,1547099967,60,-33.21,138.6,76.25,4.38
hunza,20,ZA,1547096400,73,-33.02,27.91,73.4,18.34
new norfolk,40,GR,1547099400,100,39.45,22.34,37.4,8.05
batemans bay,44,SN,1547099968,53,13.77,-13.67,60.82,4.16
cockburn harbour,90,US,1547099100,93,38.73,-120.8,53.96,6.93
jamestown,24,CN,1547099969,75,45.63,85.18,-0.43,4.05
east london,20,GL,1547095800,52,65.61,-37.64,15.8,26.4
saint george,0,AU,1547098200,27,-42.88,147.33,73.4,14.99
tambacounda,20,IT,1547096100,61,37.92,15.77,50,5.82
placerville,20,CU,1547095800,88,22.08,-79.5,64.4,2.24
baijiantan,1,CA,1547096400,74,70.47,-68.59,-27.41,8.05
tasiilaq,90,RU,1547098200,92,64.56,39.82,14,2.24
hobart,76,KI,1547099970,99,3.07,172.79,85.12,14.23
melito di porto salvo,76,ZA,1547099970,90,-34.42,19.24,60.19,4.5
we,68,CD,1547099971,99,-6.42,20.79,70.9,2.48
